z,mu
0.25077,40.3873
0.25191,40.4698
0.25247,40.4622
0.25249,40.4066
0.25319,40.3688
0.25345,40.0303
0.25394,40.4546
0.25605,40.6458
0.25609,40.5593
0.25625,40.3729
0.25672,40.5023
0.25721,40.5776
0.25723,40.4941
0.2576,40.6088
0.258,40.528
0.25847,40.4663
0.25855,40.51
0.25911,40.5418
0.25908,40.2879
0.25912,40.4255
0.25935,40.5238
0.25954,40.442
0.26051,40.5033
0.26086,40.6128
0.2613,40.447
0.26151,40.4182
0.26162,40.6874
0.26162,40.681
0.26166,40.392
0.26173,40.6935
0.26187,40.7216
0.2629,41.2641
0.26309,40.6388
0.26348,40.3997
0.26384,40.5588
0.26386,40.3035
0.26395,40.6342
0.26405,40.5074
0.26462,40.5153
0.26451,40.6719
0.2657,40.6087
0.26576,40.3244
0.26629,40.2901
0.26687,40.5463
0.26794,40.5103
0.26804,40.4623
0.2685,40.579
0.26848,40.4553
0.26879,40.6039
0.27006,40.6363
0.2701,40.5089
0.27045,40.5139
0.27085,40.4887
0.27129,40.5677
0.27265,40.5415
0.2734,40.4721
0.27444,40.7399
0.27511,40.7769
0.27508,40.5286
0.27574,40.6631
0.27619,40.6749
0.27656,40.8504
0.27764,40.6186
0.27784,40.9187
0.27924,40.7037
0.2798,40.5056
0.27987,40.5664
0.28049,40.6663
0.28122,40.6224
0.28198,40.5986
0.28256,40.744
0.28333,40.6596
0.28395,40.5735
0.28436,40.5431
0.28434,40.6919
0.28468,41.1135
0.28547,40.7046
0.28577,40.671
0.28655,40.6389
0.28723,40.5691
0.28746,40.5379
0.28763,40.8753
0.28806,40.7075
0.28835,40.749
0.28843,40.7458
0.28882,40.9433
0.2889,40.7428
0.28896,40.6763
0.28899,40.702
0.28952,40.9765
0.29001,40.7393
0.28998,40.7298
0.29036,40.7861
0.29114,40.484
0.29199,40.7606
0.29186,40.7653
0.29208,40.7505
0.29208,40.4229
0.29241,40.6378
0.29246,40.6952
0.2928,40.7458
0.29291,40.8268
0.29354,40.857
0.29496,40.762
0.29568,41.0209
0.29576,40.9989
0.29639,40.9938
0.29683,40.6595
0.29687,40.7505
0.29842,41.2705
0.29845,40.6539
0.29888,40.9195
0.29923,41.0113
0.29947,41.0213
0.29936,40.7335
0.30007,40.9837
0.30022,40.8795
0.30078,41.1729
0.3015,40.8585
0.30141,41.1086
0.30254,40.8894
0.30296,40.8204
0.30339,40.9204
0.30354,41.0778
0.30396,40.719
0.30395,40.7052
0.30478,41.0411
0.30477,40.9018
0.30519,40.5924
0.30525,40.9054
0.30551,41.0041
0.30568,40.9451
0.30641,40.8959
0.30668,41.16
0.30697,40.9573
0.30805,41.2018
0.30822,40.9533
0.30881,40.9954
0.30915,41.046
0.3093,40.9757
0.30939,41.0177
0.30955,40.72
0.31043,40.6197
0.31053,40.9962
0.31077,41.046
0.31152,41.0123
0.31185,41.0377
0.31195,40.9503
0.31252,40.9565
0.31258,41.0352
0.31259,40.6239
0.31287,41.0195
0.31294,41.0061
0.31377,41.0228
0.31444,41.1251
0.31495,41.0194
0.31509,40.8837
0.31577,41.2033
0.31582,40.933
0.31613,41.1979
0.31773,41.0738
0.31795,41.0772
0.31813,41.0199
0.31839,41.3345
0.31893,41.141
0.31892,40.8941
0.32089,41.2315
0.32095,40.9546
0.32108,41.1921
0.32214,40.7271
0.32214,40.8628
0.32214,40.8774
0.32265,40.9316
0.32454,41.0699
0.32535,41.2273
0.3255,41.2625
0.3257,41.1639
0.32573,41.0478
0.32622,41.0504
0.32794,41.0002
0.32829,41.3079
0.32838,41.351
0.32843,40.934
0.3287,41.0716
0.32859,41.1
0.3286,40.9276
0.3291,41.0566
0.32931,41.4109
0.32943,41.2391
0.3296,41.1031
0.32985,40.8444
0.33055,41.2306
0.33048,41.1674
0.33052,41.1689
0.3308,41.1586
0.3308,40.996
0.33094,41.0098
0.33154,41.0301
0.33137,41.2335
0.33155,41.1012
0.33179,41.0149
0.3324,40.977
0.3329,41.3299
0.33353,41.0025
0.33353,41.0366
0.33439,41.1204
0.3349,41.0251
0.33513,41.0242
0.33663,41.0367
0.33752,41.1678
0.33739,41.0098
0.33753,41.1477
0.3378,41.1537
0.33825,41.145
0.33851,41.1131
0.339,41.0555
0.34051,41.1737
0.3409,41.0587
0.34101,41.0641
0.34176,41.2122
0.34448,41.3081
0.3445,41.2914
0.34479,41.2333
0.34547,41.2033
0.34594,41.3318
0.34686,41.4163
0.34704,41.1174
0.34872,41.3721
0.34899,41.2499
0.34918,41.282
0.3492,41.1406
0.34946,41.2033
0.34957,41.005
0.34956,41.3756
0.34952,41.1526
0.34957,41.4873
0.35017,41.1867
0.35066,41.2342
0.35087,41.2532
0.35157,41.4798
0.35156,41.3343
0.35361,41.3657
0.35527,41.4647
0.35767,41.3574
0.35791,41.3539
0.35833,41.2423
0.35858,41.1484
0.35901,41.1532
0.35897,41.4429
0.35949,41.4213
0.36005,41.187
0.36023,41.0791
0.36081,41.4328
0.36138,41.1159
0.36272,41.2452
0.36326,41.364
0.36491,41.4626
0.36613,41.136
0.36648,41.2327
0.36705,41.2088
0.3678,41.2627
0.36791,41.4699
0.36844,41.5479
0.36862,41.463
0.36952,41.4498
0.36977,41.2185
0.37012,41.3794
0.37059,41.3759
0.37051,41.3833
0.37046,41.6395
0.37053,41.273
0.37053,41.0698
0.37087,41.4098
0.37143,41.334
0.3716,41.3842
0.3715,41.4289
0.37351,41.3114
0.37426,41.4722
0.37678,41.4155
0.37798,41.3598
0.37859,41.4271
0.37986,41.2959
0.37989,41.4154
0.38052,41.4614
0.38083,41.4511
0.38131,41.4549
0.3816,41.6775
0.38174,41.5615
0.3825,41.3726
0.38284,41.3678
0.38394,41.5182
0.38594,41.5217
0.38677,41.3791
0.38735,41.5567
0.38772,41.6302
0.38886,41.383
0.38951,41.544
0.39262,41.4742
0.39512,41.4677
0.39698,41.259
0.39946,41.7119
0.40048,41.4918
0.40212,41.4795
0.40286,41.5478
0.40361,41.616
0.40454,41.6747
0.40472,41.3373
0.40547,41.7807
0.40648,41.6914
0.409,41.7002
0.40911,41.7405
0.40927,41.7061
0.40947,41.6784
0.40995,41.6836
0.41114,41.662
0.41131,41.8335
0.41152,41.8131
0.41258,41.7893
0.41664,41.7295
0.41864,41.6174
